user,uid,sum,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08
OlegKukharchik,9482689,4,0,0,0,1,1,0,2,0,0,0,0,0
alefano,13171819,4,0,0,0,0,1,2,0,1,0,0,0,0
arcth,549888,4,1,1,0,1,0,0,0,0,0,0,0,1
wheelmap_visitor,290680,4,0,0,0,0,0,1,0,0,1,1,1,0
mike140,2471547,4,0,2,0,0,0,0,0,1,0,1,0,0
janolezab,10630643,4,0,0,0,1,2,1,0,0,0,0,0,0
cvrsxd,13890697,3,1,0,1,0,1,0,0,0,0,0,0,0
Вася Шалупкин,4612080,3,1,1,0,0,0,0,0,0,0,0,1,0
АнтоХа31,8418222,3,1,1,0,0,0,0,0,0,0,1,0,0
enkoden,12257129,3,0,1,1,1,0,0,0,0,0,0,0,0
swimdb,231017,3,0,0,1,0,0,0,1,0,0,0,1,0
stadiaarcadia,8570285,3,0,0,1,0,0,0,0,1,0,1,0,0
dwp53,4881844,3,0,0,1,0,1,0,0,0,0,0,0,1
Minh Nguyen,33757,3,0,0,0,1,1,0,0,0,1,0,0,0
Goonj_Wad,14204929,3,0,0,0,0,1,1,0,1,0,0,0,0
radioxoma,393863,3,0,0,0,0,1,0,1,0,0,0,1,0
Sma1t,13313625,3,0,0,0,0,0,0,0,1,0,1,1,0
Mateusz Konieczny,1722488,3,0,0,0,1,0,0,1,0,1,0,0,0
Snaiperis,98493,3,0,1,1,0,0,0,0,0,0,0,0,1
